borrow_id,material_id,member_id,staff_id,borrow_date,due_date,return_date
1,1,1,1,2018-09-12,2018-10-03,2018-09-30
2,2,2,1,2018-10-15,2018-11-05,2018-10-29
3,3,3,1,2018-12-20,2019-01-10,2019-01-08
4,4,4,1,2019-03-11,2019-04-01,2019-03-27
6,6,6,1,2019-07-05,2019-07-26,2019-07-21
7,7,7,1,2019-09-10,2019-10-01,2019-09-25
8,8,8,1,2019-11-08,2019-11-29,2019-11-20
9,9,9,1,2020-01-15,2020-02-05,2020-02-03
10,10,10,1,2020-03-12,2020-04-02,2020-03-28
11,1,11,2,2020-05-14,2020-06-04,2020-05-28
12,2,12,2,2020-07-21,2020-08-11,2020-08-02
13,3,13,2,2020-09-25,2020-10-16,2020-10-15
14,4,1,2,2020-11-08,2020-11-29,2020-11-24
15,5,2,2,2021-01-03,2021-01-24,2021-01-19
16,6,3,2,2021-02-18,2021-03-11,2021-03-12
17,17,4,2,2021-04-27,2021-05-18,2021-05-20
19,19,6,2,2021-08-15,2021-09-05,2021-09-03
21,21,1,3,2021-11-29,2021-12-20,
22,22,2,3,2022-01-10,2022-01-31,2022-01-25
23,23,3,3,2022-02-07,2022-02-28,2022-02-23
24,24,4,3,2022-03-11,2022-04-01,2022-03-28
26,26,6,3,2022-06-22,2022-07-13,2022-07-08
27,27,7,3,2022-08-04,2022-08-25,2022-08-23
28,28,8,3,2022-09-13,2022-10-04,2022-09-28
29,29,9,3,2022-10-16,2022-11-06,2022-11-05
30,30,8,3,2022-11-21,2022-12-12,2022-12-05
31,1,9,4,2022-12-28,2023-01-18,
32,2,1,4,2023-01-23,2023-02-13,
33,3,10,4,2023-02-02,2023-02-23,2023-02-17
34,4,11,4,2023-03-01,2023-03-22,
35,5,12,4,2023-03-10,2023-03-31,
36,6,13,4,2023-03-15,2023-04-05,
37,7,17,4,2023-03-25,2023-04-15,
38,8,8,4,2023-03-30,2023-04-20,
39,9,9,4,2023-03-26,2023-04-16,
40,10,20,4,2023-03-28,2023-04-18,
20,20,7,2,2021-10-21,2021-11-11,2023-04-01
